id,air,ancillaryImport,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,chilled,cmd,co2,connRef,cooling,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,differential,disMacro,discharge,effective,elec,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,feedback,flow,gas,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,kind,lastSynced,lastTagged,leaving,mixed,mode,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,outside,point,power,pressure,primaryLoop,ptTest,pump,quantityID,return,run,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,tagTableRef,temp,testUnits,tlName,tz,unit,utilityPoint,valve,volume,water,zone,mod
@p:ubcv:r:23d4ee85-7aa2f8b5 Ponderosa North Unsorted Points POND2_FC127_HCV,"","",@p:ubcv:r:23d4dde8-8660666c PONDN POND2_FC127_RM1254 (730127),"",TL3,✓,POND2_FC127_HCV,"",✓,"",@p:ubcv:r:23d4dde8-8660666c PONDN POND2_FC127_RM1254 (730127),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,✓,✓,"","","",2020-05-12T15:44:41-07:00 Los_Angeles,"","","",339558,2019-01-18T05:41:01-08:00 Los_Angeles,ok,"",✓,"",Number,2020-05-12T15:46:27.231-07:00 Los_Angeles,2019-01-23T16:52:54.024-08:00 Los_Angeles,"","","",Heating Valve Cmd,"",AO6,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","",@p:ubcv:r:2453b6df-d7db47fd .+_(P|\d+)?HCV(_AV|_TL)?,"","",POND2_FC127_HCV_TL,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:02:38.095Z UTC
@p:ubcv:r:23d4f757-e577b903 Ponderosa North Unsorted Points POND2_EM16_CLG_ENERGY_KWH_MUX,"","",@p:ubcv:r:23d4dcf3-0370bdda PONDN POND2_EM1_TO_EM7_EM16_TO_EM20_CP730900 (730900),"",TL116,✓,POND2_EM16_CLG_ENERGY_KWH_MUX,"","","",@p:ubcv:r:23d4dcf3-0370bdda PONDN POND2_EM1_TO_EM7_EM16_TO_EM20_CP730900 (730900),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:00:00-07:00 Los_Angeles,"","","",11641,2019-01-13T13:00:00-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:48:01.585-07:00 Los_Angeles,"","","","",POND2_EM16_CLG_ENERGY_KWH_MUX,✓,AV1115,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",POND2_EM16_CLG_ENERGY_KWH_POLL_TL,Los_Angeles,kWh,"","","","","",2020-04-09T19:02:38.774Z UTC
@p:ubcv:r:23d4f718-f7b7e147 Ponderosa North Unsorted Points HRV_07_RF_S_BV,"","",@p:ubcv:r:23d4dcf3-1cf79c45 PONDN POND2_AHU_HRV_EF_CP730800 (730800),"",TL164,✓,HRV_07_RF_S_BV,"","","",@p:ubcv:r:23d4dcf3-1cf79c45 PONDN POND2_AHU_HRV_EF_CP730800 (730800),"","","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"",✓,"","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:45:00-07:00 Los_Angeles,"","","",46439,2019-01-14T09:00:00-08:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:53:34.117-07:00 Los_Angeles,2019-01-23T16:52:52.962-08:00 Los_Angeles,"","","",Return Fan Run Status,"",BV51,"","","","",✓,"","","","","","",✓,✓,"",✓,@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","",@p:ubcv:r:23e65d0e-7dacf8fc .+_RF\d?_S(_BV)?(_TL)?,"","",MV_pond_ph2_HRV07_RF_speed,Los_Angeles,"","","","","","",2020-04-08T18:49:31.248Z UTC
@p:ubcv:r:23d4f718-2a7d083f Ponderosa North Unsorted Points HRV_03_HC_DP,"","",@p:ubcv:r:23d4dcf3-1cf79c45 PONDN POND2_AHU_HRV_EF_CP730800 (730800),"",TL49,✓,HRV_03_HC_DP,"","","",@p:ubcv:r:23d4dcf3-1cf79c45 PONDN POND2_AHU_HRV_EF_CP730800 (730800),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:51:34-07:00 Los_Angeles,"","","",339891,2019-01-18T06:09:28-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:53:34.207-07:00 Los_Angeles,"","","","",HRV_03_HC_DP,✓,AI1403,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",HRV_03_HC_DP_POLL_TL,Los_Angeles,psi,"","","","","",2020-04-09T19:02:38.666Z UTC
@p:ubcv:r:23d4f0f4-b890ecec Ponderosa North Unsorted Points POND2_FC207_Operating Mode,"","",@p:ubcv:r:23d4e414-2d70d379 PONDN POND2_FC207_RM2210_eZFC (730207),"",TL3,✓,POND2_FC207_Operating Mode,"","","",@p:ubcv:r:23d4e414-2d70d379 PONDN POND2_FC207_RM2210_eZFC (730207),"","","","","","","","","",$equipRef $bmsName,"","","","","","","Occupied,FreezeOvrd,UnocHtg,UnocClg,UnocShutdown","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","-1 enumNumberToStr(self, false)",2020-05-12T07:00:35-07:00 Los_Angeles,"","","",715,2019-01-14T07:00:51-08:00 Los_Angeles,ok,"","","",Str,2020-05-12T15:49:40.32-07:00 Los_Angeles,"","","","",POND2_FC207_Operating Mode,✓,MSV12,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",POND2_FC207_Operating Mode TL,Los_Angeles,"","","","","","",2020-04-08T18:51:00.739Z UTC
@p:ubcv:r:23d4eff3-b979a80c Ponderosa North Unsorted Points AHU_04_OAD_FB,"","",@p:ubcv:r:23d4e39c-e29377ef PONDN UBC Ponderosa II AHU_3_4 (730160),"",TL10,✓,AHU_04_OAD_FB,"","","",@p:ubcv:r:23d4e39c-e29377ef PONDN UBC Ponderosa II AHU_3_4 (730160),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:34:48-07:00 Los_Angeles,"","","",46443,2019-01-14T08:32:43-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:49:37.047-07:00 Los_Angeles,"","","","",AHU_04_OAD_FB,✓,AI7,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",MV_pond_ph2_AHU04_MAD_feedback,Los_Angeles,%,"","","","","",2020-04-09T19:02:38.142Z UTC
@p:ubcv:r:23d4f258-9094d8e3 Ponderosa North Unsorted Points POND2_FC237_Fan Mode,"","",@p:ubcv:r:23d4e414-44800194 PONDN POND2_FC237_RM2001_eZFC (730237),"",TL4,✓,POND2_FC237_Fan Mode,"","","",@p:ubcv:r:23d4e414-44800194 PONDN POND2_FC237_RM2001_eZFC (730237),"","","","","","","","","",$equipRef $bmsName,"","","","","","","Auto Fan,Fan Off,Fan Speed 1,Fan Speed 2,Fan Speed 3","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","-1 enumNumberToStr(self, false)","","","","","","",ok,"","","",Str,2020-05-12T15:51:09.324-07:00 Los_Angeles,"","","","",POND2_FC237_Fan Mode,✓,MSV8,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",POND2_FC237_Fan Mode TL,Los_Angeles,"","","","","","",2020-04-08T18:51:44.963Z UTC
@p:ubcv:r:23d4ebf0-a8fbac5f Ponderosa North Unsorted Points POND2_FCB104_FS_BV,"","",@p:ubcv:r:23d4dbdc-ca892df1 PONDN POND2_FCB104_RMB1033 (730004),"",TL14,✓,POND2_FCB104_FS_BV,"","","",@p:ubcv:r:23d4dbdc-ca892df1 PONDN POND2_FCB104_RMB1033 (730004),"","","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T04:59:44-07:00 Los_Angeles,"","","",522051,2019-01-18T06:20:33-08:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:49:36.619-07:00 Los_Angeles,"","","","",POND2_FCB104_FS_BV,✓,BV4,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",POND2_FS_COV_TL,Los_Angeles,"","","","","","",2020-04-08T18:53:36.507Z UTC
@p:ubcv:r:23d4ebda-fdcb5f85 Ponderosa North Unsorted Points POND2_WWHP_M4_C1_RUN_S_MUX,"","",@p:ubcv:r:21e2d345-153f0ba2 PONN Main Router (730000),"",TL466,✓,POND2_WWHP_M4_C1_RUN_S_MUX,"","","",@p:ubcv:r:21e2d345-153f0ba2 PONN Main Router (730000),"","","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-11T09:29:50-07:00 Los_Angeles,"","","",944,2019-05-06T14:26:19-07:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:47:41.312-07:00 Los_Angeles,"","","","",POND2_WWHP_M4_C1_RUN_S_MUX,✓,BV98,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",POND2_WWHP_M4_C1_RUN_S_MUX_TL,Los_Angeles,"","","","","","",2020-04-08T18:49:36.963Z UTC
@p:ubcv:r:23d4ec71-198f5770 Ponderosa North Unsorted Points POND2_FC105_FC,"","",@p:ubcv:r:23d4dde7-51be5470 PONDN POND2_FC105_RM1226_28 (730105),"",TL13,✓,POND2_FC105_FC,"","","",@p:ubcv:r:23d4dde7-51be5470 PONDN POND2_FC105_RM1226_28 (730105),"","","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T07:00:48-07:00 Los_Angeles,"","","",935,2019-01-14T07:01:03-08:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:50:39.631-07:00 Los_Angeles,"","","","",POND2_FC105_FC,✓,BO1,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",POND2_FC_COV_TL,Los_Angeles,"","","","","","",2020-04-08T18:53:40.391Z UTC
@p:ubcv:r:23d4ee9f-0ca986a2 Ponderosa North Unsorted Points POND2_FC128_RT_AV,✓,"",@p:ubcv:r:23d4dde8-d578bdf2 PONDN POND2_FC128_RM1255 (730128),"",TL5,✓,POND2_FC128_RT_AV,"","","",@p:ubcv:r:23d4dde8-d578bdf2 PONDN POND2_FC128_RM1255 (730128),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:54:41-07:00 Los_Angeles,"","","",339534,2019-01-18T05:48:58-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:55:24.642-07:00 Los_Angeles,2019-01-23T16:53:00.444-08:00 Los_Angeles,"","","",Zone Temp,"",AV10,"","","","",✓,"","","","","","","","","",✓,@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,✓,"",POND2_FC128_RT_TL,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:38.103Z UTC
@p:ubcv:r:23d4f705-3a434815 Ponderosa North Unsorted Points MUA_01_CC_EWT,"","",@p:ubcv:r:23d4dcf3-a55e5199 PONDN POND2_AHU_MUA_DC_CP730700 (730700),"",TL61,✓,MUA_01_CC_EWT,"","","",@p:ubcv:r:23d4dcf3-a55e5199 PONDN POND2_AHU_MUA_DC_CP730700 (730700),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:53:36-07:00 Los_Angeles,"","","",339790,2019-01-18T06:09:27-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:54:17.972-07:00 Los_Angeles,2019-01-23T16:52:56.24-08:00 Los_Angeles,"","","",MUA_01_CC_EWT,✓,AI1602,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",MUA_01_CC_EWT_POLL_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:38.581Z UTC
@p:ubcv:r:23d4f11e-32d4f65e Ponderosa North Unsorted Points POND2_FC209_Supply Air Temperature,"","",@p:ubcv:r:23d4e414-c82f60e9 PONDN POND2_FC209_RM2274_A_2275_eZFC (730209),"",TL8,✓,POND2_FC209_Supply Air Temperature,"","","",@p:ubcv:r:23d4e414-c82f60e9 PONDN POND2_FC209_RM2274_A_2275_eZFC (730209),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:45:00-07:00 Los_Angeles,"","","",46516,2019-01-13T13:00:00-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:53:29.393-07:00 Los_Angeles,"","","","",POND2_FC209_Supply Air Temperature,✓,AV10,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",POND2_FC209_SAT TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:38.221Z UTC
@p:ubcv:r:23d4f705-a4a1fd5c Ponderosa North Unsorted Points DC_1_3C,"","",@p:ubcv:r:23d4dcf3-a55e5199 PONDN POND2_AHU_MUA_DC_CP730700 (730700),"",TL7,✓,DC_1_3C,"","","",@p:ubcv:r:23d4dcf3-a55e5199 PONDN POND2_AHU_MUA_DC_CP730700 (730700),"","","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T12:48:19-07:00 Los_Angeles,"","","",4626,2019-03-15T13:36:28-07:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:54:18.049-07:00 Los_Angeles,"","","","",DC_1_3C,✓,BO1203,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",DC_1_3C_COV_TL,Los_Angeles,"","","","","","",2020-04-08T18:51:56.375Z UTC
@p:ubcv:r:23d4f098-66b03deb Ponderosa North Unsorted Points POND2_FC203_Operating Mode,"","",@p:ubcv:r:23d4e414-c7edfd09 PONDN POND2_FC203_RM2234_eZFC (730203),"",TL3,✓,POND2_FC203_Operating Mode,"","","",@p:ubcv:r:23d4e414-c7edfd09 PONDN POND2_FC203_RM2234_eZFC (730203),"","","","","","","","","",$equipRef $bmsName,"","","","","","","Occupied,FreezeOvrd,UnocHtg,UnocClg,UnocShutdown","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","-1 enumNumberToStr(self, false)",2020-05-12T07:00:32-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [99] svc=READ_RANGE cls=SERVICES code=MISSING_REQUIRED_PARAMETER ","","",794,2019-01-14T07:00:51-08:00 Los_Angeles,fault,"","","",Str,2020-05-12T15:01:45.257-07:00 Los_Angeles,"","","","",POND2_FC203_Operating Mode,✓,MSV12,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",POND2_FC203_Operating Mode TL,Los_Angeles,"","","","","","",2020-04-08T18:51:00.808Z UTC
@p:ubcv:r:23d4f765-1bbcb3fd Ponderosa North Unsorted Points POND2_EM10_POWER_KW_MUX,"","",@p:ubcv:r:23d4dcf3-499b36e6 PONDN POND2_EM10_EM11_CP731000 (731000),"",TL49,✓,POND2_EM10_POWER_KW_MUX,"","","",@p:ubcv:r:23d4dcf3-499b36e6 PONDN POND2_EM10_EM11_CP731000 (731000),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:00:00-07:00 Los_Angeles,"","","",11630,2019-01-13T13:00:00-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:48:01.679-07:00 Los_Angeles,"","","","",POND2_EM10_POWER_KW_MUX,✓,AV1048,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",POND2_EM10_POWER_KW_POLL_TL,Los_Angeles,kW,"","","","","",2020-04-09T19:02:38.862Z UTC
@p:ubcv:r:23d4f764-d207a659 Ponderosa North Unsorted Points POND2_FC230_FC,"","",@p:ubcv:r:23d4ea03-00be7995 PONDN POND2_FC230_RM2103 (730930),"",TL13,✓,POND2_FC230_FC,"","","",@p:ubcv:r:23d4ea03-00be7995 PONDN POND2_FC230_RM2103 (730930),"","","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-03-30T07:38:22-07:00 Los_Angeles,"","","",780,2019-01-13T16:30:43-08:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:53:28.88-07:00 Los_Angeles,"","","","",POND2_FC230_FC,✓,BO1,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",POND2_FC_COV_TL,Los_Angeles,"","","","","","",2020-04-08T18:53:40.404Z UTC
@p:ubcv:r:23d4f3bc-06e37bb0 Ponderosa North Unsorted Points POND2_VAV_308_FLW_SP,✓,"",@p:ubcv:r:23d4e563-fa094189 PONDN POND2_AHU1_VAV_308_RM3106_108_162 (730308),"",TL4,✓,POND2_VAV_308_FLW_SP,"","","",@p:ubcv:r:23d4e563-fa094189 PONDN POND2_AHU1_VAV_308_RM3106_108_162 (730308),"","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","",✓,"",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:41:53-07:00 Los_Angeles,"","","",69008,2019-01-17T03:30:42-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:48:03.135-07:00 Los_Angeles,2019-01-23T16:52:58.418-08:00 Los_Angeles,"","","",Discharge Air Flow Sp,"",AV5,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"",✓,"","","",@p:ubcv:r:23e65d0e-5f6d8aaa (.+_)?(V|S)AVS?.+_FLO?W_SP(_LPS|_TL)?,"","",POND2_VAV_308_FLW_SP_TL,Los_Angeles,L/s,"","","","","",2020-04-09T19:02:38.377Z UTC
@p:ubcv:r:23d4ebda-35abfb83 Ponderosa North Unsorted Points HP_REF_GAS_6_S1,"","",@p:ubcv:r:21e2d345-153f0ba2 PONN Main Router (730000),"",TL183,✓,HP_REF_GAS_6_S1,"","","",@p:ubcv:r:21e2d345-153f0ba2 PONN Main Router (730000),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:40:00-07:00 Los_Angeles,"","","",69848,2019-01-13T12:20:00-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:47:42.907-07:00 Los_Angeles,"","","","",HP_REF_GAS_6_S1,✓,AI1704,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",HP_REF_GAS_6_S1_TL,Los_Angeles,ppm,"","","","","",2020-04-09T19:02:37.68Z UTC
@p:ubcv:r:23d4f757-37bd5736 Ponderosa North Unsorted Points POND2_EM17_EM18_EM19_EM20_POWER_KW,"","",@p:ubcv:r:23d4dcf3-0370bdda PONDN POND2_EM1_TO_EM7_EM16_TO_EM20_CP730900 (730900),"",TL121,✓,POND2_EM17_EM18_EM19_EM20_POWER_KW,"","","",@p:ubcv:r:23d4dcf3-0370bdda PONDN POND2_EM1_TO_EM7_EM16_TO_EM20_CP730900 (730900),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:45:00-07:00 Los_Angeles,"","","",46484,2019-01-14T09:00:00-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:48:12.111-07:00 Los_Angeles,"","","","",POND2_EM17_EM18_EM19_EM20_POWER_KW,✓,AV1120,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",MV_pond_ph2_total_dh_dhw_kw,Los_Angeles,kW,"","","","","",2020-04-09T19:02:38.777Z UTC
@p:ubcv:r:23d4f718-b07f8162 Ponderosa North Unsorted Points EF_17_S_BV,✓,"",@p:ubcv:r:23d4dcf3-1cf79c45 PONDN POND2_AHU_HRV_EF_CP730800 (730800),"",TL33,✓,EF_17_S_BV,"","","",@p:ubcv:r:23d4dcf3-1cf79c45 PONDN POND2_AHU_HRV_EF_CP730800 (730800),"","","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,✓,✓,"","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-03-25T14:25:42-07:00 Los_Angeles,"","","",2,2020-03-25T14:25:38-07:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:53:34.268-07:00 Los_Angeles,"","","","","Exhaust Fan Run ","",BV35,"","","","",✓,"","","","","","","",✓,"",✓,@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","",@p:ubcv:r:24413a2c-c7fd0c25 (.+_)?EF_?(\d+)?(_A_\d+)?_F?S(_.+)?(_TL)?,"","",EF_17_S_BV_COV_TL,Los_Angeles,"","","","","","",2020-04-08T18:54:19.148Z UTC
@p:ubcv:r:23d4f1bf-81796139 Ponderosa North Unsorted Points POND2_FC216_Fan Mode,"","",@p:ubcv:r:23d4e414-6ee57ae8 PONDN POND2_FC216_RM2262_eZFC (730216),"",TL4,✓,POND2_FC216_Fan Mode,"","","",@p:ubcv:r:23d4e414-6ee57ae8 PONDN POND2_FC216_RM2262_eZFC (730216),"","","","","","","","","",$equipRef $bmsName,"","","","","","","Auto Fan,Fan Off,Fan Speed 1,Fan Speed 2,Fan Speed 3","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","-1 enumNumberToStr(self, false)","","","","","","",ok,"","","",Str,2020-05-12T15:50:40.224-07:00 Los_Angeles,"","","","",POND2_FC216_Fan Mode,✓,MSV8,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",POND2_FC216_Fan Mode TL,Los_Angeles,"","","","","","",2020-04-08T18:51:45.045Z UTC
@p:ubcv:r:23d4ebda-403ef88c Ponderosa North Unsorted Points HEX_5_LD_LWT,"","",@p:ubcv:r:21e2d345-153f0ba2 PONN Main Router (730000),"",TL66,✓,HEX_5_LD_LWT,"","","",@p:ubcv:r:21e2d345-153f0ba2 PONN Main Router (730000),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:47:04-07:00 Los_Angeles,"","","",340191,2019-01-18T05:34:48-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:47:43.028-07:00 Los_Angeles,2019-01-23T16:52:49.072-08:00 Los_Angeles,"","","",HEX_5_LD_LWT,✓,AI1301,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",HEX_5_LD_LWT_POLL_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:37.682Z UTC
